"id","name","bikes_count","terminal_id"
425,"Wood Street, Guildhall",12,1063
426,"Clifford Street, Mayfair",12,2688
427,"Claremont Square, Angel",12,1104
428,"Earnshaw Street , Covent Garden",12,1145
429,"St. George Street, Mayfair",12,1221
430,"Kensington Town Hall, Kensington",12,10632
431,"Drayton Gardens, West Chelsea",12,200060
432,"New Inn Yard, Shoreditch",12,1032
433,"Eaton Square, Belgravia",12,1069
434,"Belgrave Square, Belgravia",12,3473
435,"Elysium Place, Fulham",12,200028
436,"All Saints' Road, Portobello",12,300026
437,"Smugglers Way, Wandsworth",12,200113
438,"Brunswick Square, Bloomsbury",12,1022
439,"Sail Street, Vauxhall",12,200039
440,"Langdon Park, Poplar",12,200160
441,"Finlay Street, Fulham",12,200029
442,"Ormonde Gate, Chelsea",12,300089
443,"Kings Gate House, Westminster",12,300202
444,"Victory Place, Walworth",12,300239
445,"Breams Buildings, Holborn",12,3449
446,"Risinghill Street, Angel",12,1127
447,"Lansdowne Drive, Hackney Central",12,3426
448,"Westminster Bridge Road, Elephant & Castle",12,200076
449,"Murray Grove , Hoxton",12,989
450,"Cheshire Street, Bethnal Green",12,200003
451,"Sheepcote Lane, Battersea",12,200176
452,"Chapel Place, Marylebone",12,1003
453,"Oxford Road, Putney",12,300078
454,"Fashion Street, Whitechapel",12,3483
455,"Victoria & Albert Museum, South Kensington",12,300032
456,"Christopher Street, Liverpool Street",12,1012
457,"Upper Bank Street, Canary Wharf",12,200099
458,"New Spring Gardens Walk, Vauxhall",12,300224
459,"Belford House, Haggerston",12,200057
460,"Borough Road, Elephant & Castle",12,1082
461,"Ansell House, Stepney",12,200148
462,"Westferry DLR, Limehouse",12,200238
463,"Harper Road, The Borough",12,1137
464,"Saltoun Road, Brixton",12,300206
465,"Empire Square, The Borough",12,1209
466,"Hop Exchange, The Borough",12,960
467,"Palace Gate, Kensington Gardens",13,1110
468,"Exhibition Road Museums 1, South Kensington",13,22158
469,"South Kensington Station, South Kensington",13,2685
470,"Farm Street, Mayfair",13,2678
471,"Buckingham Gate, Westminster",13,200178
472,"Goswell Road (City Uni), Finsbury",13,1222
473,"South Parade, Chelsea",13,22182
474,"Manresa Road, Chelsea",13,200010
475,"Limerston Street, West Chelsea",13,200001
476,"Gloucester Road (Central), South Kensington",13,3435
477,"King Edward Street, St Pauls",13,200203
478,"Bishop's Bridge Road East, Bayswater",13,200108
479,"Longford Street, The Regent's Park",13,976
480,"St. Mary Axe, Aldgate",13,1184
481,"Warwick Row, Westminster",13,968
482,"Turquoise Island, Notting Hill",13,2682
483,"Whiston Road, Haggerston",13,200158
484,"Park Road (Baker Street), The Regent's Park",13,1050
485,"Great Percy Street, Clerkenwell",13,3470
486,"Black Lion Gate, Kensington Gardens",13,1157
487,"Wellington Street , Strand",13,1202
488,"Bromley High Street, Bow",13,22172
489,"Arlington Road, Camden Town",13,200070
490,"Godliman Street, St. Paul's",13,971
491,"North Wharf Road, Paddington",13,1108
492,"Northfields, Wandsworth",13,200204
493,"Pritchard's Road, Bethnal Green",13,200083
494,"Sopwith Way, Battersea Park",13,300248
495,"Finsbury Square , Moorgate",13,1056
496,"Teviot Street, Poplar",13,200254
497,"Salmon Lane, Limehouse",13,200147
498,"Rainville Road, Hammersmith",13,200182
499,"Blackfriars Road, Southwark",13,300214
500,"Mostyn Grove, Bow",13,200174
501,"Museum of London, Barbican",13,1043
502,"Hampstead Road, Euston",13,972
503,"Waterloo Road, South Bank",14,1176
504,"West Smithfield Rotunda, Farringdon",14,1040
505,"Farringdon Lane, Clerkenwell",14,3432
506,"Wormwood Street, Liverpool Street",14,2587
507,"George Place Mews, Marylebone",14,10630
508,"St. John Street, Finsbury",14,992
509,"Bell Street , Marylebone",14,1166
510,"Sackville Street, Mayfair",14,1197
511,"Black Prince Road, Vauxhall",14,1205
512,"Wapping High Street, Wapping",14,1039
513,"Mallory Street, Marylebone",14,1175
514,"Bruton Street, Mayfair",14,1034
515,"South Lambeth Road, Vauxhall",14,200133
516,"London Fields, Hackney Central",14,200025
517,"Rifle Place, Avondale",14,300007
518,"Baker Street, Marylebone",14,1086
519,"Thurtle Road, Haggerston",14,200093
